granularity,budget,run_count,avg_context_tokens,avg_answer_f1,avg_answer_recall,avg_selected_gold_recall,avg_selected_relevance_precision,avg_token_efficiency
chunk,500,9,482.77777777777777,0.22727272727272727,0.23897707231040563,0.35008818342151676,0.21031746031746035,0.47343550400353984
chunk,1000,9,982.1111111111111,0.2606060606060606,0.29453262786596124,0.417989417989418,0.20334295334295333,0.2640810675824237
chunk,1500,9,1485.111111111111,0.2828282828282828,0.29453262786596124,0.46737213403880074,0.20429720093201048,0.19109038965282657
proposition,500,9,495.1111111111111,0.027777777777777776,0.015873015873015872,0.015873015873015872,0.0823045267489712,0.05577867023650155
proposition,1000,9,995.1111111111111,0.1388888888888889,0.09611992945326278,0.20723104056437391,0.08726155156545648,0.13927911613063265
proposition,1500,9,1288.111111111111,0.17929292929292928,0.17636684303350972,0.355379188712522,0.09809463948437268,0.12297390834068452
sentence,500,9,498.22222222222223,0.2111111111111111,0.22310405643738976,0.34656084656084657,0.10125531694159146,0.4230683589401024
sentence,1000,9,993.6666666666666,0.22535612535612534,0.23544973544973546,0.34656084656084657,0.07915247190715356,0.22755901138790482
sentence,1500,9,1214.888888888889,0.22535612535612534,0.23544973544973546,0.34656084656084657,0.08,0.1909382308015168
